Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
159,-0.993548,0.14964,0.243992,-1.03159,0.01807,0.125685,1.092851,3.988296,3.988296
160,-0.986592,0.154506,0.238828,-1.029181,0.008432,0.135323,1.092851,3.358871,4.114211
161,-0.986592,0.14964,0.231082,-1.045243,-0.001205,0.116049,1.596361,3.547668,4.239976
162,-0.984273,0.144774,0.202681,-1.02115,0.005219,0.112032,1.533478,3.421754,4.428923
163,-0.984273,0.144774,0.202681,-1.03159,0.010841,0.098381,1.470596,3.547668,4.051179
164,-0.977317,0.144774,0.243992,-1.038016,0.013252,0.114443,1.281649,3.547668,4.051179
165,-0.984273,0.152073,0.225918,-1.034803,0.009234,0.102396,1.407564,3.547668,4.177094
166,-0.986592,0.144774,0.225918,-1.03641,0.01807,0.122474,1.281649,3.610551,4.239976
167,-0.979636,0.154506,0.207845,-1.034803,0.006826,0.128096,1.407564,3.547668,4.051179
168,-0.970361,0.144774,0.218172,-1.038819,0.011645,0.1297,1.533478,2.918243,4.114211
169,-0.984273,0.142341,0.218172,-1.032394,0.010841,0.124883,1.029968,3.673583,4.114211
170,-0.984273,0.142341,0.218172,-1.038016,0.020479,0.119261,1.407564,3.484786,4.365891
171,-0.974998,0.142341,0.236246,-1.026772,0.004417,0.123276,1.659393,3.610551,3.988296
172,-0.981954,0.152073,0.213009,-1.041228,0.015661,0.115245,1.092851,3.170073,3.988296
173,-0.977317,0.147207,0.24141,-1.038016,0.013252,0.087137,1.344681,3.862381,4.617721
174,-0.979636,0.154506,0.207845,-1.034803,0.019676,0.098381,1.533478,3.295839,4.239976
175,-0.993548,0.154506,0.233664,-1.041228,0.017267,0.123276,1.470596,3.421754,3.988296
176,-0.993548,0.154506,0.233664,-1.033999,0.00763,0.11123,1.092851,3.610551,3.799498
177,-0.986592,0.14964,0.24141,-1.025166,0.00281,0.107214,1.281649,3.421754,4.114211
178,-0.995866,0.156939,0.233664,-1.028379,0.018872,0.119261,1.281649,3.170073,3.988296
179,-0.995866,0.159373,0.269811,-1.032394,0.01807,0.12167,1.155883,3.736466,4.365891
180,-0.979636,0.154506,0.249155,-1.038819,0.005219,0.116049,1.281649,3.736466,4.365891
181,-0.986592,0.159373,0.231082,-1.023559,0.006826,0.112032,0.904053,3.673583,4.428923
182,-0.991229,0.159373,0.2285,-1.029984,0.006826,0.11123,1.155883,3.547668,4.428923
183,-0.991229,0.159373,0.2285,-1.032394,0.010841,0.106412,1.533478,3.547668,4.303008
184,-0.991229,0.159373,0.225918,-1.04685,0.017267,0.115245,1.344681,3.484786,4.365891
185,-0.986592,0.154506,0.218172,-1.033999,0.013252,0.12167,1.533478,3.547668,4.680604
186,-0.986592,0.159373,0.238828,-1.039621,0.009234,0.095168,1.155883,3.421754,4.491806
187,-0.991229,0.156939,0.233664,-1.029984,0.018872,0.154598,1.218766,3.547668,4.051179
188,-0.970361,0.147207,0.225918,-1.03641,0.015661,0.125685,1.092851,3.736466,3.862381
189,-0.970361,0.147207,0.225918,-1.037212,0.001204,0.138536,1.218766,3.484786,4.491806
190,-0.991229,0.14964,0.21559,-1.033999,0.010841,0.120867,1.596361,3.610551,3.988296
191,-0.984273,0.144774,0.2285,-1.03641,0.027707,0.12167,0.904053,3.232956,4.177094
192,-0.981954,0.14964,0.200099,-1.035606,0.016463,0.124883,1.407564,3.862381,4.869551
193,-0.984273,0.147207,0.243992,-1.03159,0.015661,0.115245,1.533478,3.547668,4.428923
194,-0.98891,0.152073,0.2285,-1.041228,0.011645,0.112032,1.596361,3.358871,4.051179
195,-0.984273,0.147207,0.213009,-1.025968,0.014856,0.144158,1.281649,3.358871,4.806519
196,-0.984273,0.147207,0.213009,-1.035606,0.013252,0.091955,1.092851,3.673583,4.428923
197,-0.981954,0.159373,0.21559,-1.042032,0.017267,0.110427,1.344681,3.799498,4.617721
198,-0.984273,0.144774,0.24141,-1.03159,0.012448,0.093561,1.407564,3.295839,3.862381
199,-0.974998,0.154506,0.231082,-1.033999,-0.004417,0.133716,1.344681,3.736466,4.491806
200,-0.981954,0.144774,0.233664,-1.029181,-0.006023,0.097577,1.659393,3.673583,4.554689
201,-0.986592,0.154506,0.21559,-1.035606,0.011645,0.108017,1.344681,3.421754,4.051179
202,-0.986592,0.154506,0.21559,-1.046047,0.013252,0.104001,1.659393,3.484786,4.051179
203,-0.981954,0.147207,0.207845,-1.035606,0.009234,0.115245,1.344681,3.547668,4.554689
204,-0.977317,0.144774,0.2285,-1.029984,0.010841,0.112032,1.281649,3.421754,4.303008
205,-0.984273,0.147207,0.223336,-1.028379,0.000401,0.127292,1.407564,3.358871,4.617721
206,-0.981954,0.14964,0.213009,-1.025166,-0.000401,0.124883,1.344681,3.421754,4.428923
207,-0.993548,0.137474,0.243992,-1.025968,0.009234,0.122474,1.029968,3.547668,4.177094
208,-0.995866,0.144774,0.218172,-1.030788,0.006826,0.122474,1.344681,3.673583,3.862381
209,-0.995866,0.144774,0.218172,-1.038819,0.015661,0.092759,1.659393,3.358871,4.680604
210,-0.991229,0.144774,0.194935,-1.037212,0.005219,0.107214,1.407564,3.358871,4.303008
211,-0.991229,0.152073,0.202681,-1.025166,0.010841,0.116852,1.281649,3.484786,3.925264
212,-0.98891,0.152073,0.21559,-1.038819,0.009234,0.120065,1.533478,3.358871,4.554689
213,-0.991229,0.14964,0.179444,-1.033197,0.012448,0.120065,1.533478,3.170073,4.114211
214,-0.98891,0.14964,0.213009,-1.029984,0.008432,0.118458,1.533478,3.358871,4.114211
215,-0.974998,0.152073,0.200099,-1.032394,0.004417,0.128096,1.344681,3.799498,3.925264
216,-0.974998,0.152073,0.200099,-1.025166,0.010039,0.119261,1.029968,3.295839,3.988296
217,-0.991229,0.154506,0.218172,-1.033999,0.009234,0.116852,1.344681,3.547668,4.177094
218,-0.984273,0.14964,0.231082,-1.029181,0.010841,0.120065,1.344681,3.799498,4.051179
219,-0.986592,0.156939,0.197517,-1.022757,0.010039,0.112032,1.407564,3.547668,3.736466
220,-0.977317,0.159373,0.225918,-1.038016,0.011645,0.12167,1.596361,3.421754,3.925264
221,-0.984273,0.152073,0.21559,-1.029181,0.015661,0.120065,1.722276,3.170073,3.925264
222,-0.984273,0.152073,0.21559,-1.037212,0.008432,0.144158,1.659393,3.736466,4.239976
223,-0.981954,0.159373,0.210427,-1.037212,0.00763,0.102396,1.344681,3.610551,4.114211
224,-0.977317,0.142341,0.205263,-1.025968,0.010841,0.108821,1.722276,3.170073,4.114211
225,-0.991229,0.161806,0.238828,-1.033197,0.00281,0.125685,1.974106,3.610551,3.988296
226,-0.986592,0.147207,0.210427,-1.038016,0.017267,0.096774,1.281649,3.862381,4.303008
227,-0.995866,0.156939,0.210427,-1.032394,0.017267,0.116852,1.407564,3.736466,3.862381
228,-0.991229,0.144774,0.223336,-1.03641,0.012448,0.118458,1.596361,3.673583,4.680604
229,-0.991229,0.144774,0.223336,-1.03159,0.005219,0.114443,1.407564,3.484786,4.239976
230,-0.981954,0.156939,0.207845,-1.037212,0.009234,0.11123,1.344681,3.295839,4.177094
231,-0.986592,0.156939,0.200099,-1.027575,0.00763,0.102396,1.281649,3.673583,4.114211
232,-0.981954,0.14964,0.213009,-1.033197,0.013252,0.122474,1.533478,3.295839,4.177094
233,-0.981954,0.14964,0.218172,-1.032394,0.006826,0.10079,1.218766,3.673583,4.177094
