Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
102,1.779575,0.040147,-1.219957,-0.057422,0.038951,-0.809933,1.407564,3.484786,4.239976
103,1.777257,0.052313,-1.240613,-0.050998,0.038951,-0.833224,1.092851,3.673583,4.680604
104,1.779575,0.037714,-1.232867,-0.061437,0.03654,-0.81154,1.281649,3.610551,4.428923
105,1.770301,0.045014,-1.201884,-0.055013,0.028509,-0.80672,1.281649,3.736466,4.303008
106,1.777257,0.047447,-1.217375,-0.05662,0.034934,-0.793069,0.904053,3.484786,4.428923
107,1.777257,0.047447,-1.217375,-0.059831,0.024494,-0.805918,1.848191,3.610551,4.554689
108,1.774938,0.040147,-1.212212,-0.048589,0.039754,-0.827601,1.470596,3.421754,4.743636
109,1.779575,0.035281,-1.232867,-0.055013,0.04136,-0.825193,1.281649,3.673583,4.491806
110,1.774938,0.040147,-1.217375,-0.068666,0.038147,-0.823586,1.533478,3.358871,5.310029
111,1.781894,0.057179,-1.227703,-0.0518,0.032525,-0.807524,1.470596,3.232956,4.365891
112,1.779575,0.04988,-1.245777,-0.050998,0.039754,-0.833224,1.533478,3.295839,4.680604
113,1.781894,0.045014,-1.219957,-0.053407,0.034132,-0.802704,1.596361,3.673583,4.617721
114,1.781894,0.045014,-1.219957,-0.064651,0.039754,-0.821177,1.596361,3.547668,4.428923
115,1.774938,0.037714,-1.235449,-0.058226,0.034132,-0.823586,1.470596,3.925264,4.554689
116,1.777257,0.035281,-1.232867,-0.054211,0.040556,-0.829208,1.470596,3.547668,4.365891
117,1.770301,0.047447,-1.245777,-0.059029,0.045376,-0.825995,1.155883,3.421754,4.114211
118,1.772619,0.047447,-1.238031,-0.0518,0.032525,-0.824388,1.596361,3.736466,4.680604
119,1.772619,0.047447,-1.261268,-0.055013,0.042967,-0.814753,1.533478,3.610551,4.428923
120,1.772619,0.047447,-1.261268,-0.054211,0.039754,-0.824388,1.848191,3.547668,4.554689
121,1.770301,0.054746,-1.248359,-0.059029,0.04136,-0.807524,1.596361,3.170073,4.554689
122,1.774938,0.045014,-1.225121,-0.061437,0.049391,-0.825193,1.281649,3.547668,4.051179
123,1.765663,0.04988,-1.238031,-0.049391,0.042967,-0.83001,1.722276,3.736466,4.491806
124,1.770301,0.045014,-1.243195,-0.054211,0.033329,-0.805115,1.659393,3.862381,4.680604
125,1.774938,0.040147,-1.230285,-0.060635,0.043769,-0.810735,1.155883,3.358871,4.491806
126,1.781894,0.042581,-1.235449,-0.059831,0.033329,-0.823586,1.344681,3.925264,4.114211
127,1.781894,0.042581,-1.235449,-0.061437,0.047784,-0.836437,1.218766,3.610551,4.617721
128,1.779575,0.040147,-1.238031,-0.050998,0.03654,-0.847679,1.407564,3.673583,4.428923
129,1.774938,0.040147,-1.253522,-0.05662,0.038951,-0.817162,1.596361,3.547668,4.365891
130,1.779575,0.035281,-1.245777,-0.052604,0.034132,-0.823586,1.407564,3.547668,4.743636
131,1.774938,0.037714,-1.235449,-0.048589,0.038951,-0.807524,1.407564,3.547668,4.806519
132,1.779575,0.045014,-1.243195,-0.054211,0.042967,-0.81154,1.596361,3.421754,4.554689
133,1.779575,0.035281,-1.235449,-0.053407,0.034934,-0.814753,1.344681,3.547668,4.554689
134,1.779575,0.035281,-1.235449,-0.054211,0.037345,-0.826799,1.344681,3.673583,4.491806
135,1.770301,0.042581,-1.227703,-0.061437,0.030918,-0.820373,1.407564,3.736466,4.554689
136,1.777257,0.045014,-1.212212,-0.054211,0.045376,-0.79628,1.281649,3.232956,4.680604
137,1.772619,0.040147,-1.217375,-0.046982,0.031723,-0.821177,1.533478,3.799498,4.365891
138,1.767982,0.042581,-1.235449,-0.055013,0.043769,-0.828404,1.281649,3.610551,4.554689
139,1.770301,0.037714,-1.225121,-0.050998,0.04136,-0.825193,1.407564,3.044158,4.491806
140,1.770301,0.037714,-1.225121,-0.06706,0.03654,-0.815555,1.470596,3.736466,4.303008
141,1.774938,0.042581,-1.240613,-0.048589,0.030116,-0.829208,1.407564,3.547668,4.680604
142,1.779575,0.037714,-1.219957,-0.055013,0.038951,-0.836437,1.407564,3.107041,4.051179
143,1.777257,0.045014,-1.26385,-0.062242,0.046982,-0.83483,1.533478,3.295839,4.491806
144,1.781894,0.04988,-1.245777,-0.064651,0.042967,-0.837239,1.470596,3.358871,4.428923
145,1.770301,0.030415,-1.253522,-0.055815,0.034934,-0.813948,1.533478,3.421754,4.680604
146,1.774938,0.04988,-1.256104,-0.053407,0.038951,-0.819571,1.281649,3.673583,4.932433
147,1.774938,0.04988,-1.256104,-0.052604,0.033329,-0.824388,1.533478,3.799498,4.365891
148,1.774938,0.040147,-1.214794,-0.055013,0.045376,-0.854907,1.533478,3.799498,4.617721
149,1.772619,0.045014,-1.238031,-0.050195,0.037345,-0.817162,1.785308,3.673583,4.617721
150,1.781894,0.027981,-1.261268,-0.058226,0.043769,-0.799493,1.470596,3.736466,4.491806
151,1.779575,0.040147,-1.256104,-0.059029,0.047784,-0.81154,1.533478,3.799498,4.303008
152,1.777257,0.045014,-1.261268,-0.055815,0.037345,-0.832419,1.281649,3.610551,4.303008
153,1.777257,0.045014,-1.261268,-0.055815,0.045376,-0.818768,1.281649,3.421754,4.554689
154,1.779575,0.047447,-1.222539,-0.062242,0.034934,-0.813146,1.281649,3.421754,3.925264
155,1.78885,0.04988,-1.222539,-0.05662,0.039754,-0.81154,1.407564,3.358871,4.177094
156,1.791168,0.047447,-1.230285,-0.060635,0.037345,-0.824388,1.659393,3.610551,4.491806
157,1.774938,0.04988,-1.245777,-0.065453,0.044571,-0.83001,1.470596,3.925264,4.428923
158,1.779575,0.032848,-1.240613,-0.057422,0.040556,-0.800295,1.155883,3.358871,4.177094
159,1.779575,0.042581,-1.225121,-0.060635,0.053407,-0.827601,1.344681,3.736466,4.428923
160,1.779575,0.042581,-1.225121,-0.042967,0.024494,-0.838041,1.407564,3.673583,4.743636
161,1.791168,0.052313,-1.225121,-0.04618,0.033329,-0.819571,1.596361,3.673583,4.491806
162,1.784212,0.04988,-1.20963,-0.066257,0.030116,-0.821979,1.407564,3.610551,4.365891
163,1.770301,0.057179,-1.243195,-0.053407,0.031723,-0.823586,0.904053,3.610551,4.491806
164,1.779575,0.037714,-1.248359,-0.052604,0.040556,-0.822784,1.344681,3.673583,4.806519
165,1.772619,0.047447,-1.225121,-0.055815,0.042967,-0.831617,1.407564,3.736466,4.617721
166,1.777257,0.057179,-1.214794,-0.050195,0.049391,-0.835632,1.407564,4.177094,4.365891
167,1.777257,0.057179,-1.214794,-0.050998,0.04136,-0.800295,1.659393,3.673583,4.114211
168,1.779575,0.045014,-1.225121,-0.061437,0.037345,-0.828404,1.722276,3.547668,4.303008
